TA,TA code,Measure,Age group,Rate,Rate - 95% CI Lower,Rate - 95% CI Upper,Estimate,Estimate - 95% CI Lower,Estimate - 95% CI Upper,TA population,Method
Rangitikei district,38,Vision,50 to 54,7,5,9,75,60,96,1098,SDE
Rangitikei district,38,Hearing,55 to 59,14,11,17,141,111,171,1001,SDE
Rangitikei district,38,Overall,55 to 59,35,30,41,354,303,411,1001,SDE
Rangitikei district,38,Physical,55 to 59,23,18,29,228,180,288,1001,SDE
Rangitikei district,38,Psychological,55 to 59,7,5,10,72,51,102,1001,SDE
Rangitikei district,38,Vision,55 to 59,6,4,8,63,48,78,1001,SDE
Rangitikei district,38,Hearing,60 to 64,19,15,22,159,129,183,853,SDE
Rangitikei district,38,Overall,60 to 64,40,34,47,342,297,393,853,SDE
Rangitikei district,38,Physical,60 to 64,28,22,36,243,192,303,853,SDE
Rangitikei district,38,Psychological,60 to 64,6,4,9,51,36,72,853,SDE
Rangitikei district,38,Vision,60 to 64,6,4,8,51,39,66,853,SDE
Rangitikei district,38,Hearing,65 to 69,23,19,27,189,159,222,821,SDE
Rangitikei district,38,Overall,65 to 69,47,40,54,384,333,438,821,SDE
Rangitikei district,38,Physical,65 to 69,35,27,44,288,228,357,821,SDE
Rangitikei district,38,Psychological,65 to 69,5,3,8,42,30,60,821,SDE
Rangitikei district,38,Vision,65 to 69,6,4,9,51,39,66,821,SDE
Rangitikei district,38,Hearing,70 to 74,27,24,33,174,153,207,641,SDE
Rangitikei district,38,Overall,70 to 74,54,48,62,348,306,396,641,SDE
Rangitikei district,38,Physical,70 to 74,43,34,54,279,222,342,641,SDE
Rangitikei district,38,Psychological,70 to 74,4,3,7,27,18,42,641,SDE
Rangitikei district,38,Vision,70 to 74,8,5,10,48,36,63,641,SDE
Rangitikei district,38,Hearing,75 to 79,34,30,41,165,147,198,486,SDE
Rangitikei district,38,Overall,75 to 79,65,58,73,315,282,354,486,SDE
Rangitikei district,38,Physical,75 to 79,55,45,67,267,219,324,486,SDE
Rangitikei district,38,Psychological,75 to 79,4,3,7,21,12,33,486,SDE
Rangitikei district,38,Vision,75 to 79,10,7,13,48,36,63,486,SDE
Rangitikei district,38,Hearing,80+,43,39,54,219,198,273,504,SDE
Rangitikei district,38,Overall,80+,79,71,88,399,360,444,504,SDE
Rangitikei district,38,Physical,80+,72,60,86,366,303,435,504,SDE
Rangitikei district,38,Psychological,80+,5,2,7,24,12,36,504,SDE
Rangitikei district,38,Vision,80+,18,14,23,90,69,114,504,SDE
Rotorua district,24,Hearing,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Rotorua district,24,Overall,0 to 4,6,5,8,360,288,444,5607,SDE
Rotorua district,24,Physical,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Rotorua district,24,Psychological,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Rotorua district,24,Vision,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Rotorua district,24,Hearing,10 to 14,2,1,3,96,72,138,5730,SDE
Rotorua district,24,Overall,10 to 14,16,13,19,909,762,1077,5730,SDE
Rotorua district,24,Physical,10 to 14,3,1,4,147,102,204,5730,SDE
Rotorua district,24,Psychological,10 to 14,7,5,10,390,294,516,5730,SDE
Rotorua district,24,Vision,10 to 14,1,0,2,63,42,93,5730,SDE
Rotorua district,24,Hearing,15 to 19,2,1,3,120,90,153,5076,SDE
Rotorua district,24,Overall,15 to 19,17,14,21,870,720,1035,5076,SDE
Rotorua district,24,Physical,15 to 19,5,3,7,234,171,324,5076,SDE
Rotorua district,24,Psychological,15 to 19,6,4,9,324,240,432,5076,SDE
Rotorua district,24,Vision,15 to 19,1,0,2,69,45,102,5076,SDE
Rotorua district,24,Hearing,20 to 24,4,2,5,159,120,207,4344,SDE
Rotorua district,24,Overall,20 to 24,18,14,22,777,630,933,4344,SDE
Rotorua district,24,Physical,20 to 24,7,5,11,324,234,444,4344,SDE
Rotorua district,24,Psychological,20 to 24,7,4,9,285,207,384,4344,SDE
Rotorua district,24,Vision,20 to 24,2,1,4,93,60,132,4344,SDE
Rotorua district,24,Hearing,25 to 29,4,2,5,147,114,192,3992,SDE
Rotorua district,24,Overall,25 to 29,17,13,21,675,558,816,3992,SDE
Rotorua district,24,Physical,25 to 29,7,5,10,294,210,399,3992,SDE
Rotorua district,24,Psychological,25 to 29,7,4,10,261,186,363,3992,SDE
Rotorua district,24,Vision,25 to 29,2,1,4,87,57,141,3992,SDE
Rotorua district,24,Hearing,30 to 34,3,2,5,129,96,168,3773,SDE
Rotorua district,24,Overall,30 to 34,16,13,19,600,504,711,3773,SDE
Rotorua district,24,Physical,30 to 34,8,5,11,288,213,384,3773,SDE
Rotorua district,24,Psychological,30 to 34,7,4,9,249,180,333,3773,SDE
Rotorua district,24,Vision,30 to 34,2,1,3,63,42,93,3773,SDE
Rotorua district,24,Hearing,35 to 39,4,3,6,177,135,228,4430,SDE
Rotorua district,24,Overall,35 to 39,16,13,20,720,588,858,4430,SDE
Rotorua district,24,Physical,35 to 39,9,6,12,390,294,513,4430,SDE
Rotorua district,24,Psychological,35 to 39,7,4,9,288,213,387,4430,SDE
Rotorua district,24,Vision,35 to 39,1,0,3,66,39,99,4430,SDE
Rotorua district,24,Hearing,40 to 44,6,4,8,285,213,348,4929,SDE
Rotorua district,24,Overall,40 to 44,21,17,25,1041,885,1215,4929,SDE
Rotorua district,24,Physical,40 to 44,12,9,16,573,444,741,4929,SDE
Rotorua district,24,Psychological,40 to 44,7,5,10,369,276,486,4929,SDE
Rotorua district,24,Vision,40 to 44,3,2,4,153,114,198,4929,SDE
Rotorua district,24,Hearing,45 to 49,8,6,10,381,279,432,4615,SDE
Rotorua district,24,Overall,45 to 49,26,22,31,1215,1020,1413,4615,SDE
Rotorua district,24,Physical,45 to 49,15,11,19,681,534,864,4615,SDE
Rotorua district,24,Psychological,45 to 49,8,5,11,366,276,483,4615,SDE
Rotorua district,24,Vision,45 to 49,6,4,8,273,210,354,4615,SDE
Rotorua district,24,Hearing,5 to 9,2,1,3,108,66,138,5682,SDE
Rotorua district,24,Overall,5 to 9,13,10,16,744,612,888,5682,SDE
Rotorua district,24,Physical,5 to 9,2,1,3,120,87,165,5682,SDE
Rotorua district,24,Psychological,5 to 9,5,3,7,288,216,384,5682,SDE
Rotorua district,24,Vision,5 to 9,1,0,2,66,45,90,5682,SDE
Rotorua district,24,Hearing,50 to 54,10,7,12,468,375,561,4715,SDE
Rotorua district,24,Overall,50 to 54,30,25,35,1407,1209,1617,4715,SDE
Rotorua district,24,Physical,50 to 54,18,14,23,864,687,1074,4715,SDE
Rotorua district,24,Psychological,50 to 54,8,5,11,369,276,486,4715,SDE
Rotorua district,24,Vision,50 to 54,7,5,9,330,258,414,4715,SDE
Rotorua district,24,Hearing,55 to 59,12,10,15,495,405,597,4068,SDE
Rotorua district,24,Overall,55 to 59,33,28,39,1362,1176,1548,4068,SDE
Rotorua district,24,Physical,55 to 59,23,18,29,924,741,1143,4068,SDE
Rotorua district,24,Psychological,55 to 59,7,5,10,285,213,381,4068,SDE
Rotorua district,24,Vision,55 to 59,7,5,9,270,210,339,4068,SDE
Rotorua district,24,Hearing,60 to 64,16,12,19,585,456,684,3616,SDE
Rotorua district,24,Overall,60 to 64,39,33,44,1404,1221,1578,3616,SDE
Rotorua district,24,Physical,60 to 64,29,23,36,1041,843,1272,3616,SDE
Rotorua district,24,Psychological,60 to 64,6,4,9,222,165,294,3616,SDE
Rotorua district,24,Vision,60 to 64,7,5,9,237,186,291,3616,SDE
Rotorua district,24,Hearing,65 to 69,20,14,23,579,429,663,2939,SDE
Rotorua district,24,Overall,65 to 69,44,38,50,1302,1140,1464,2939,SDE
Rotorua district,24,Physical,65 to 69,35,28,43,1020,831,1245,2939,SDE
Rotorua district,24,Psychological,65 to 69,5,3,7,147,105,198,2939,SDE
Rotorua district,24,Vision,65 to 69,7,5,9,192,147,240,2939,SDE
Rotorua district,24,Hearing,70 to 74,25,19,29,591,459,669,2352,SDE
Rotorua district,24,Overall,70 to 74,54,47,60,1260,1113,1404,2352,SDE
Rotorua district,24,Physical,70 to 74,44,36,54,1044,855,1263,2352,SDE
Rotorua district,24,Psychological,70 to 74,5,3,7,108,75,150,2352,SDE
Rotorua district,24,Vision,70 to 74,8,6,10,186,144,234,2352,SDE
Rotorua district,24,Hearing,75 to 79,30,24,34,453,363,495,1485,SDE
Rotorua district,24,Overall,75 to 79,63,56,71,942,843,1041,1485,SDE
Rotorua district,24,Physical,75 to 79,55,45,67,822,681,981,1485,SDE
Rotorua district,24,Psychological,75 to 79,4,3,7,66,45,90,1485,SDE
Rotorua district,24,Vision,75 to 79,10,8,13,156,120,192,1485,SDE
Rotorua district,24,Hearing,80+,39,33,45,732,627,831,1882,SDE
Rotorua district,24,Overall,80+,77,69,85,1452,1305,1599,1882,SDE
Rotorua district,24,Physical,80+,72,59,85,1347,1128,1596,1882,SDE
Rotorua district,24,Psychological,80+,4,2,7,81,51,123,1882,SDE
Rotorua district,24,Vision,80+,18,14,23,336,264,417,1882,SDE
Ruapehu district,36,Hearing,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Ruapehu district,36,Overall,0 to 4,7,5,10,81,63,105,1145,SDE
Ruapehu district,36,Physical,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Ruapehu district,36,Psychological,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Ruapehu district,36,Vision,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Ruapehu district,36,Hearing,10 to 14,2,1,3,21,15,27,929,SDE
Ruapehu district,36,Overall,10 to 14,19,15,23,174,141,210,929,SDE
Ruapehu district,36,Physical,10 to 14,3,2,5,27,18,42,929,SDE
Ruapehu district,36,Psychological,10 to 14,8,5,11,72,51,99,929,SDE
Ruapehu district,36,Vision,10 to 14,1,0,2,12,6,18,929,SDE
Ruapehu district,36,Hearing,15 to 19,3,2,4,27,18,33,830,SDE
Ruapehu district,36,Overall,15 to 19,20,16,24,162,132,201,830,SDE
Ruapehu district,36,Physical,15 to 19,5,3,8,42,30,60,830,SDE
Ruapehu district,36,Psychological,15 to 19,7,5,10,60,42,84,830,SDE
Ruapehu district,36,Vision,15 to 19,1,0,3,12,6,18,830,SDE
Ruapehu district,36,Hearing,20 to 24,4,3,6,30,21,39,693,SDE
Ruapehu district,36,Overall,20 to 24,20,15,25,135,108,168,693,SDE
Ruapehu district,36,Physical,20 to 24,8,5,12,54,36,78,693,SDE
Ruapehu district,36,Psychological,20 to 24,7,4,10,48,33,69,693,SDE
Ruapehu district,36,Vision,20 to 24,2,1,4,15,9,24,693,SDE
Ruapehu district,36,Hearing,25 to 29,5,3,7,33,24,45,682,SDE
Ruapehu district,36,Overall,25 to 29,19,15,24,132,108,165,682,SDE
Ruapehu district,36,Physical,25 to 29,8,5,12,54,39,78,682,SDE
Ruapehu district,36,Psychological,25 to 29,7,5,11,48,33,69,682,SDE
Ruapehu district,36,Vision,25 to 29,3,1,5,18,9,30,682,SDE
Ruapehu district,36,Hearing,30 to 34,4,3,6,30,21,39,669,SDE
Ruapehu district,36,Overall,30 to 34,17,13,21,114,93,138,669,SDE
Ruapehu district,36,Physical,30 to 34,8,5,11,51,36,72,669,SDE
Ruapehu district,36,Psychological,30 to 34,6,4,9,42,30,60,669,SDE
Ruapehu district,36,Vision,30 to 34,2,1,3,12,6,18,669,SDE
Ruapehu district,36,Hearing,35 to 39,5,4,7,36,27,51,736,SDE
Ruapehu district,36,Overall,35 to 39,18,14,23,132,105,165,736,SDE
Ruapehu district,36,Physical,35 to 39,9,6,13,69,48,96,736,SDE
Ruapehu district,36,Psychological,35 to 39,7,5,10,51,36,72,736,SDE
Ruapehu district,36,Vision,35 to 39,2,0,3,12,6,18,736,SDE
Ruapehu district,36,Hearing,40 to 44,7,5,9,54,45,69,812,SDE
Ruapehu district,36,Overall,40 to 44,23,19,28,186,156,225,812,SDE
Ruapehu district,36,Physical,40 to 44,12,9,17,99,72,132,812,SDE
Ruapehu district,36,Psychological,40 to 44,8,5,11,63,45,87,812,SDE
Ruapehu district,36,Vision,40 to 44,3,2,5,27,18,36,812,SDE
Ruapehu district,36,Hearing,45 to 49,11,8,14,84,66,108,777,SDE
Ruapehu district,36,Overall,45 to 49,30,25,37,234,198,282,777,SDE
Ruapehu district,36,Physical,45 to 49,17,12,22,132,99,171,777,SDE
Ruapehu district,36,Psychological,45 to 49,9,7,13,72,54,99,777,SDE
Ruapehu district,36,Vision,45 to 49,6,4,9,48,36,63,777,SDE
Ruapehu district,36,Hearing,5 to 9,2,1,3,24,18,33,1076,SDE
Ruapehu district,36,Overall,5 to 9,15,11,18,159,129,195,1076,SDE
Ruapehu district,36,Physical,5 to 9,2,1,4,24,15,36,1076,SDE
Ruapehu district,36,Psychological,5 to 9,5,3,8,57,42,81,1076,SDE
Ruapehu district,36,Vision,5 to 9,1,0,2,12,6,21,1076,SDE
Ruapehu district,36,Hearing,50 to 54,12,9,15,105,87,135,900,SDE
Ruapehu district,36,Overall,50 to 54,33,28,39,297,255,351,900,SDE
Ruapehu district,36,Physical,50 to 54,20,15,26,177,135,228,900,SDE
Ruapehu district,36,Psychological,50 to 54,9,6,12,78,57,108,900,SDE
Ruapehu district,36,Vision,50 to 54,7,5,10,66,51,87,900,SDE
Ruapehu district,36,Hearing,55 to 59,16,13,20,135,111,168,868,SDE
Ruapehu district,36,Overall,55 to 59,39,33,45,336,288,390,868,SDE
Ruapehu district,36,Physical,55 to 59,26,20,33,228,177,288,868,SDE
Ruapehu district,36,Psychological,55 to 59,8,6,12,72,54,102,868,SDE
Ruapehu district,36,Vision,55 to 59,8,6,10,66,51,84,868,SDE
Ruapehu district,36,Hearing,60 to 64,19,15,23,135,114,171,736,SDE
Ruapehu district,36,Overall,60 to 64,42,36,49,312,270,357,736,SDE
Ruapehu district,36,Physical,60 to 64,31,24,39,225,177,282,736,SDE
Ruapehu district,36,Psychological,60 to 64,7,4,10,48,36,69,736,SDE
Ruapehu district,36,Vision,60 to 64,7,5,9,51,39,66,736,SDE
Ruapehu district,36,Hearing,65 to 69,23,19,30,129,108,162,553,SDE
Ruapehu district,36,Overall,65 to 69,48,42,55,267,231,303,553,SDE
Ruapehu district,36,Physical,65 to 69,37,29,46,201,162,252,553,SDE
Ruapehu district,36,Psychological,65 to 69,5,3,8,30,21,45,553,SDE
Ruapehu district,36,Vision,65 to 69,7,5,9,39,27,51,553,SDE
Ruapehu district,36,Hearing,70 to 74,29,24,37,123,105,156,430,SDE
Ruapehu district,36,Overall,70 to 74,58,50,65,246,216,279,430,SDE
Ruapehu district,36,Physical,70 to 74,47,37,58,201,162,249,430,SDE
Ruapehu district,36,Psychological,70 to 74,5,3,8,21,15,33,430,SDE
Ruapehu district,36,Vision,70 to 74,9,6,11,36,27,48,430,SDE
Ruapehu district,36,Hearing,75 to 79,36,30,44,90,75,111,249,SDE
Ruapehu district,36,Overall,75 to 79,66,58,74,165,147,183,249,SDE
Ruapehu district,36,Physical,75 to 79,56,45,68,141,111,171,249,SDE
Ruapehu district,36,Psychological,75 to 79,5,3,7,12,6,18,249,SDE
Ruapehu district,36,Vision,75 to 79,11,8,14,27,21,36,249,SDE
Ruapehu district,36,Hearing,80+,43,37,53,123,108,153,291,SDE
Ruapehu district,36,Overall,80+,79,71,87,228,204,255,291,SDE
Ruapehu district,36,Physical,80+,73,60,87,210,174,252,291,SDE
Ruapehu district,36,Psychological,80+,4,2,7,12,6,21,291,SDE
Ruapehu district,36,Vision,80+,19,14,24,54,42,69,291,SDE
Selwyn district,62,Hearing,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Selwyn district,62,Overall,0 to 4,5,4,7,168,129,213,3208,SDE
Selwyn district,62,Physical,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Selwyn district,62,Psychological,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Selwyn district,62,Vision,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Selwyn district,62,Hearing,10 to 14,2,1,3,57,42,87,3439,SDE
Selwyn district,62,Overall,10 to 14,15,12,18,501,417,603,3439,SDE
Selwyn district,62,Physical,10 to 14,2,1,3,69,45,99,3439,SDE
Selwyn district,62,Psychological,10 to 14,6,4,9,207,153,285,3439,SDE
Selwyn district,62,Vision,10 to 14,1,0,2,27,18,42,3439,SDE
Selwyn district,62,Hearing,15 to 19,2,1,4,69,54,102,3179,SDE
Selwyn district,62,Overall,15 to 19,16,13,20,516,426,621,3179,SDE
Selwyn district,62,Physical,15 to 19,4,2,6,117,84,165,3179,SDE
Selwyn district,62,Psychological,15 to 19,6,4,9,186,135,255,3179,SDE
Selwyn district,62,Vision,15 to 19,1,0,2,33,21,51,3179,SDE
Selwyn district,62,Hearing,20 to 24,4,2,5,84,54,111,2343,SDE
Selwyn district,62,Overall,20 to 24,16,13,20,381,309,465,2343,SDE
Selwyn district,62,Physical,20 to 24,6,3,8,135,93,186,2343,SDE
Selwyn district,62,Psychological,20 to 24,6,3,8,132,90,186,2343,SDE
Selwyn district,62,Vision,20 to 24,2,1,3,39,24,57,2343,SDE
Selwyn district,62,Hearing,25 to 29,4,2,6,75,48,105,2004,SDE
Selwyn district,62,Overall,25 to 29,15,12,19,306,249,378,2004,SDE
Selwyn district,62,Physical,25 to 29,5,3,8,111,75,153,2004,SDE
Selwyn district,62,Psychological,25 to 29,6,4,9,114,81,168,2004,SDE
Selwyn district,62,Vision,25 to 29,2,1,3,33,21,57,2004,SDE
Selwyn district,62,Hearing,30 to 34,4,2,5,84,51,111,2352,SDE
Selwyn district,62,Overall,30 to 34,13,10,16,306,252,375,2352,SDE
Selwyn district,62,Physical,30 to 34,5,3,7,120,84,165,2352,SDE
Selwyn district,62,Psychological,30 to 34,5,3,7,114,81,162,2352,SDE
Selwyn district,62,Vision,30 to 34,1,0,2,27,18,42,2352,SDE
Selwyn district,62,Hearing,35 to 39,4,3,6,129,96,174,3230,SDE
Selwyn district,62,Overall,35 to 39,14,11,17,444,357,546,3230,SDE
Selwyn district,62,Physical,35 to 39,6,4,9,198,144,267,3230,SDE
Selwyn district,62,Psychological,35 to 39,5,3,7,162,114,225,3230,SDE
Selwyn district,62,Vision,35 to 39,1,0,2,33,18,57,3230,SDE
Selwyn district,62,Hearing,40 to 44,5,4,7,225,174,282,4170,SDE
Selwyn district,62,Overall,40 to 44,17,14,21,729,609,873,4170,SDE
Selwyn district,62,Physical,40 to 44,8,5,11,324,237,435,4170,SDE
Selwyn district,62,Psychological,40 to 44,5,3,8,222,162,306,4170,SDE
Selwyn district,62,Vision,40 to 44,2,1,4,96,69,129,4170,SDE
Selwyn district,62,Hearing,45 to 49,8,5,10,288,222,360,3794,SDE
Selwyn district,62,Overall,45 to 49,23,19,28,858,720,1029,3794,SDE
Selwyn district,62,Physical,45 to 49,10,7,14,393,291,519,3794,SDE
Selwyn district,62,Psychological,45 to 49,6,4,9,231,168,318,3794,SDE
Selwyn district,62,Vision,45 to 49,5,3,7,171,129,231,3794,SDE
Selwyn district,62,Hearing,5 to 9,2,1,3,63,39,78,3775,SDE
Selwyn district,62,Overall,5 to 9,11,9,14,420,348,513,3775,SDE
Selwyn district,62,Physical,5 to 9,1,0,2,51,36,75,3775,SDE
Selwyn district,62,Psychological,5 to 9,4,2,6,150,108,207,3775,SDE
Selwyn district,62,Vision,5 to 9,1,0,2,27,18,42,3775,SDE
Selwyn district,62,Hearing,50 to 54,11,8,13,363,285,444,3440,SDE
Selwyn district,62,Overall,50 to 54,26,22,31,909,777,1062,3440,SDE
Selwyn district,62,Physical,50 to 54,14,10,18,468,354,606,3440,SDE
Selwyn district,62,Psychological,50 to 54,6,4,9,213,156,297,3440,SDE
Selwyn district,62,Vision,50 to 54,5,4,7,186,144,240,3440,SDE
Selwyn district,62,Hearing,55 to 59,12,9,15,351,279,426,2840,SDE
Selwyn district,62,Overall,55 to 59,29,24,34,819,696,960,2840,SDE
Selwyn district,62,Physical,55 to 59,16,12,21,465,354,597,2840,SDE
Selwyn district,62,Psychological,55 to 59,5,3,8,147,105,207,2840,SDE
Selwyn district,62,Vision,55 to 59,5,3,7,138,105,177,2840,SDE
Selwyn district,62,Hearing,60 to 64,17,13,20,414,336,483,2481,SDE
Selwyn district,62,Overall,60 to 64,35,30,41,861,744,996,2481,SDE
Selwyn district,62,Physical,60 to 64,22,17,28,552,429,693,2481,SDE
Selwyn district,62,Psychological,60 to 64,5,3,7,114,81,162,2481,SDE
Selwyn district,62,Vision,60 to 64,5,3,7,123,96,156,2481,SDE
Selwyn district,62,Hearing,65 to 69,20,16,26,387,309,486,1895,SDE
Selwyn district,62,Overall,65 to 69,41,35,48,777,678,894,1895,SDE
Selwyn district,62,Physical,65 to 69,28,22,36,537,420,666,1895,SDE
Selwyn district,62,Psychological,65 to 69,4,2,6,75,51,108,1895,SDE
Selwyn district,62,Vision,65 to 69,5,4,7,99,75,126,1895,SDE
Selwyn district,62,Hearing,70 to 74,25,19,33,330,258,423,1305,SDE
Selwyn district,62,Overall,70 to 74,50,44,57,654,573,744,1305,SDE
Selwyn district,62,Physical,70 to 74,37,29,46,486,384,600,1305,SDE
Selwyn district,62,Psychological,70 to 74,4,2,6,48,33,69,1305,SDE
Selwyn district,62,Vision,70 to 74,6,4,8,78,60,102,1305,SDE
Selwyn district,62,Hearing,75 to 79,32,25,40,237,186,297,742,SDE
Selwyn district,62,Overall,75 to 79,61,54,69,453,402,507,742,SDE
Selwyn district,62,Physical,75 to 79,49,39,59,363,291,438,742,SDE
Selwyn district,62,Psychological,75 to 79,4,2,6,27,18,42,742,SDE
Selwyn district,62,Vision,75 to 79,8,6,11,63,48,78,742,SDE
Selwyn district,62,Hearing,80+,44,36,52,339,276,396,768,SDE
Selwyn district,62,Overall,80+,76,68,85,588,528,648,768,SDE
Selwyn district,62,Physical,80+,67,55,80,513,423,615,768,SDE
Selwyn district,62,Psychological,80+,4,2,7,30,18,48,768,SDE
Selwyn district,62,Vision,80+,17,13,21,126,99,159,768,SDE
South Taranaki district,35,Hearing,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
South Taranaki district,35,Overall,0 to 4,6,4,8,144,111,183,2317,SDE
South Taranaki district,35,Physical,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
South Taranaki district,35,Psychological,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
South Taranaki district,35,Vision,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
South Taranaki district,35,Hearing,10 to 14,2,1,3,42,33,60,2211,SDE
South Taranaki district,35,Overall,10 to 14,17,14,21,369,309,444,2211,SDE
South Taranaki district,35,Physical,10 to 14,3,1,4,57,39,81,2211,SDE
South Taranaki district,35,Psychological,10 to 14,7,5,10,150,111,204,2211,SDE
South Taranaki district,35,Vision,10 to 14,1,0,2,24,15,36,2211,SDE
South Taranaki district,35,Hearing,15 to 19,2,1,3,42,33,57,1851,SDE
South Taranaki district,35,Overall,15 to 19,18,14,22,324,270,396,1851,SDE
South Taranaki district,35,Physical,15 to 19,4,3,7,81,54,114,1851,SDE
South Taranaki district,35,Psychological,15 to 19,6,4,9,111,81,156,1851,SDE
South Taranaki district,35,Vision,15 to 19,1,0,2,24,12,36,1851,SDE
South Taranaki district,35,Hearing,20 to 24,4,3,6,66,51,87,1649,SDE
South Taranaki district,35,Overall,20 to 24,19,15,23,309,252,381,1649,SDE
South Taranaki district,35,Physical,20 to 24,7,4,10,117,81,165,1649,SDE
South Taranaki district,35,Psychological,20 to 24,7,4,10,108,78,150,1649,SDE
South Taranaki district,35,Vision,20 to 24,2,1,3,33,18,48,1649,SDE
South Taranaki district,35,Hearing,25 to 29,4,2,6,66,45,90,1703,SDE
South Taranaki district,35,Overall,25 to 29,18,14,22,303,243,369,1703,SDE
South Taranaki district,35,Physical,25 to 29,7,4,10,120,84,165,1703,SDE
South Taranaki district,35,Psychological,25 to 29,6,4,10,108,75,156,1703,SDE
South Taranaki district,35,Vision,25 to 29,2,1,4,36,21,60,1703,SDE
South Taranaki district,35,Hearing,30 to 34,4,2,5,66,42,81,1645,SDE
South Taranaki district,35,Overall,30 to 34,16,13,20,267,219,324,1645,SDE
South Taranaki district,35,Physical,30 to 34,7,5,10,114,81,159,1645,SDE
South Taranaki district,35,Psychological,30 to 34,6,4,9,99,72,138,1645,SDE
South Taranaki district,35,Vision,30 to 34,1,0,3,24,15,36,1645,SDE
South Taranaki district,35,Hearing,35 to 39,4,3,6,75,51,96,1688,SDE
South Taranaki district,35,Overall,35 to 39,17,13,21,285,231,354,1688,SDE
South Taranaki district,35,Physical,35 to 39,8,6,12,141,105,192,1688,SDE
South Taranaki district,35,Psychological,35 to 39,6,4,9,108,78,147,1688,SDE
South Taranaki district,35,Vision,35 to 39,1,0,3,24,12,39,1688,SDE
South Taranaki district,35,Hearing,40 to 44,6,4,8,117,93,144,1977,SDE
South Taranaki district,35,Overall,40 to 44,22,18,26,429,360,513,1977,SDE
South Taranaki district,35,Physical,40 to 44,11,8,15,216,162,285,1977,SDE
South Taranaki district,35,Psychological,40 to 44,7,5,10,141,102,192,1977,SDE
South Taranaki district,35,Vision,40 to 44,3,2,4,57,42,78,1977,SDE
South Taranaki district,35,Hearing,45 to 49,9,7,11,165,138,204,1861,SDE
South Taranaki district,35,Overall,45 to 49,28,23,33,516,435,615,1861,SDE
South Taranaki district,35,Physical,45 to 49,14,10,19,267,201,345,1861,SDE
South Taranaki district,35,Psychological,45 to 49,8,5,11,150,108,201,1861,SDE
South Taranaki district,35,Vision,45 to 49,6,4,8,105,78,138,1861,SDE
South Taranaki district,35,Hearing,5 to 9,2,1,3,42,30,54,2142,SDE
South Taranaki district,35,Overall,5 to 9,13,11,17,285,234,348,2142,SDE
South Taranaki district,35,Physical,5 to 9,2,1,3,42,27,60,2142,SDE
South Taranaki district,35,Psychological,5 to 9,5,3,7,102,75,141,2142,SDE
South Taranaki district,35,Vision,5 to 9,1,0,2,21,12,30,2142,SDE
South Taranaki district,35,Hearing,50 to 54,11,8,14,210,168,261,1900,SDE
South Taranaki district,35,Overall,50 to 54,32,27,37,603,519,702,1900,SDE
South Taranaki district,35,Physical,50 to 54,18,14,24,348,267,441,1900,SDE
South Taranaki district,35,Psychological,50 to 54,8,6,11,153,114,210,1900,SDE
South Taranaki district,35,Vision,50 to 54,7,5,9,129,99,165,1900,SDE
South Taranaki district,35,Hearing,55 to 59,14,10,17,243,177,285,1718,SDE
South Taranaki district,35,Overall,55 to 59,34,29,40,591,507,684,1718,SDE
South Taranaki district,35,Physical,55 to 59,22,17,28,372,291,474,1718,SDE
South Taranaki district,35,Psychological,55 to 59,7,5,10,117,87,162,1718,SDE
South Taranaki district,35,Vision,55 to 59,6,4,8,105,81,135,1718,SDE
South Taranaki district,35,Hearing,60 to 64,18,13,20,252,189,288,1447,SDE
South Taranaki district,35,Overall,60 to 64,40,34,46,579,504,660,1447,SDE
South Taranaki district,35,Physical,60 to 64,28,22,35,405,321,507,1447,SDE
South Taranaki district,35,Psychological,60 to 64,6,4,9,87,63,120,1447,SDE
South Taranaki district,35,Vision,60 to 64,6,4,8,87,69,114,1447,SDE
South Taranaki district,35,Hearing,65 to 69,21,16,24,276,213,312,1300,SDE
South Taranaki district,35,Overall,65 to 69,46,40,53,597,522,684,1300,SDE
South Taranaki district,35,Physical,65 to 69,34,27,43,447,357,561,1300,SDE
South Taranaki district,35,Psychological,65 to 69,5,3,7,66,45,93,1300,SDE
South Taranaki district,35,Vision,65 to 69,7,5,9,87,66,111,1300,SDE
South Taranaki district,35,Hearing,70 to 74,27,21,31,252,204,288,946,SDE
South Taranaki district,35,Overall,70 to 74,56,49,63,525,465,597,946,SDE
